iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
221,1810432,-36.5310,50.0,0.0100,0.4278,-0.003526,11.342087,3.104331,0.006612,4157,435.4
222,1818624,-37.3379,50.0,0.0200,0.4787,-0.004036,12.675372,3.097340,0.004202,4158,437.3
223,1826816,-35.4370,50.0,0.0300,0.4169,-0.003865,9.056581,3.086421,0.004644,4159,439.2
224,1835008,-35.0212,50.0,0.0400,0.4903,-0.003690,11.196662,3.076424,0.004782,4158,441.2
225,1843200,-35.8174,50.0,0.0200,0.4388,-0.004316,9.789996,3.063245,0.005729,4159,443.1
226,1851392,-34.0397,50.0,0.0000,0.4268,-0.004623,8.272322,3.052864,0.005263,4160,445.0
227,1859584,-35.6366,50.0,0.0200,0.4001,-0.002573,10.667405,3.047663,0.006375,4160,446.9
228,1867776,-33.9505,50.0,0.0200,0.4033,-0.004036,9.447047,3.038782,0.004471,4161,448.9
229,1875968,-34.4527,50.0,0.0100,0.3890,-0.002943,7.743952,3.029117,0.004754,4161,450.8
230,1884160,-37.0347,50.0,0.0200,0.4788,-0.005690,14.015751,3.025548,0.005426,4161,452.8
231,1892352,-36.2671,50.0,0.0100,0.4569,-0.004309,9.742087,3.018971,0.005019,4161,454.8
232,1900544,-35.2605,50.0,0.0000,0.4703,-0.003147,10.048485,3.009593,0.004282,4159,456.9
233,1908736,-35.3333,50.0,0.0100,0.3905,-0.004062,10.653571,2.999247,0.006149,4160,458.8
234,1916928,-36.2942,50.0,0.0000,0.4429,-0.005578,11.008502,2.987614,0.005364,4161,460.7
235,1925120,-35.0810,50.0,0.0200,0.4438,-0.002452,10.339793,2.975282,0.005440,4161,462.6
236,1933312,-33.2243,50.0,0.0500,0.3995,-0.002623,7.617334,2.963900,0.005486,4161,464.6
237,1941504,-32.7153,50.0,0.0100,0.3763,-0.003419,6.605692,2.954038,0.005880,4161,466.5
238,1949696,-34.7901,50.0,0.0300,0.4259,-0.000027,7.919361,2.942554,0.007410,4162,468.4
239,1957888,-35.0048,50.0,0.0300,0.3817,-0.002191,8.432840,2.928907,0.005595,4162,470.4
240,1966080,-32.5021,50.0,0.0100,0.3729,-0.003025,9.343491,2.918966,0.005232,4162,472.3
241,1974272,-34.5562,50.0,0.0100,0.4128,-0.004196,11.265265,2.913401,0.004557,4163,474.2
242,1982464,-33.8404,50.0,0.0000,0.3765,-0.002970,10.021257,2.902517,0.004526,4163,476.1
243,1990656,-35.7704,50.0,0.0200,0.4818,-0.004589,9.601508,2.883879,0.008170,4164,478.0
244,1998848,-34.5270,50.0,0.0000,0.4267,-0.004440,10.536922,2.867999,0.005662,4164,480.0
245,2007040,-35.8107,50.0,0.0100,0.4147,-0.003604,8.050215,2.863368,0.004119,4163,482.0
246,2015232,-33.3729,50.0,0.0400,0.3703,-0.003132,5.973286,2.850335,0.005763,4163,484.0
247,2023424,-34.5231,50.0,0.0000,0.4403,-0.005431,9.243058,2.830432,0.005867,4163,486.0
248,2031616,-33.0008,50.0,0.0200,0.4278,-0.001025,9.452000,2.812160,0.007530,4163,488.0
249,2039808,-33.6471,50.0,0.0200,0.3832,-0.004157,9.412412,2.793720,0.006510,4162,490.0
250,2048000,-34.9141,50.0,0.0100,0.4112,-0.004638,10.637594,2.788634,0.004572,4161,492.1
251,2056192,-35.4139,50.0,0.0500,0.3931,-0.003912,7.605504,2.783508,0.004534,4160,494.2
252,2064384,-36.1624,50.0,0.0100,0.4284,-0.003912,9.189214,2.767524,0.005025,4159,496.2
253,2072576,-33.9139,50.0,0.0000,0.4219,-0.002461,7.903033,2.752251,0.004008,4159,498.3
254,2080768,-36.4828,50.0,0.0000,0.4593,-0.003263,8.868133,2.733112,0.006873,4158,500.4
255,2088960,-34.3922,50.0,0.0300,0.4339,-0.003124,10.852680,2.720835,0.006495,4157,502.4
256,2097152,-34.7169,50.0,0.0000,0.4374,-0.004160,9.423010,2.713909,0.004186,4157,504.5
257,2105344,-34.1611,50.0,0.0100,0.3787,-0.004508,8.691505,2.709956,0.004650,4156,506.5
