iteration,global_step,mean_return,mean_length,success_rate,mean_distance,policy_loss,value_loss,entropy,approx_kl,sps,elapsed
145,593920,-36.4482,50.0,0.0100,0.4677,-0.008938,7.605926,1.076053,0.020885,3083,192.6
146,598016,-36.5340,50.0,0.0100,0.4224,-0.009117,10.225972,1.043707,0.017043,3084,193.9
147,602112,-33.7048,50.0,0.0300,0.4513,-0.014648,12.372041,1.026092,0.016089,3085,195.1
148,606208,-37.7937,50.0,0.0200,0.5231,-0.010268,11.517301,0.994939,0.021099,3086,196.4
149,610304,-36.4321,50.0,0.0300,0.4300,-0.009488,9.482555,0.973386,0.022967,3087,197.7
150,614400,-37.2960,50.0,0.0100,0.4397,-0.012085,9.237915,0.933322,0.015999,3088,198.9
151,618496,-37.6087,50.0,0.0100,0.4463,-0.008906,8.878281,0.904870,0.022078,3088,200.2
152,622592,-36.5823,50.0,0.0000,0.4652,-0.013298,9.785395,0.890443,0.023232,3089,201.5
153,626688,-36.1850,50.0,0.0100,0.4111,-0.010202,9.259898,0.891186,0.021517,3090,202.8
154,630784,-34.3003,50.0,0.0000,0.4315,-0.014168,8.723234,0.910422,0.017603,3090,204.1
155,634880,-35.7675,50.0,0.0100,0.4113,-0.008516,8.120308,0.897745,0.021812,3090,205.4
156,638976,-35.7976,50.0,0.0300,0.4477,-0.011257,10.020337,0.880527,0.019879,3091,206.7
157,643072,-34.2231,50.0,0.0300,0.4168,-0.010445,9.640469,0.862578,0.019263,3091,208.0
158,647168,-34.7731,50.0,0.0100,0.4736,-0.005840,10.802561,0.878095,0.021824,3092,209.3
159,651264,-36.4341,50.0,0.0100,0.5244,-0.012150,14.588656,0.880745,0.014944,3092,210.6
160,655360,-32.9332,50.0,0.0200,0.4407,-0.008669,6.449850,0.856889,0.023268,3093,211.8
161,659456,-35.7045,50.0,0.0200,0.4358,-0.013989,9.516748,0.838451,0.014815,3094,213.1
162,663552,-34.2672,50.0,0.0300,0.4478,-0.013184,11.467255,0.814307,0.019198,3095,214.4
163,667648,-34.3058,50.0,0.0400,0.4342,-0.008318,7.646857,0.805611,0.015809,3096,215.6
164,671744,-35.0632,50.0,0.0400,0.4523,-0.010015,9.124229,0.787111,0.021607,3095,217.0
165,675840,-34.5753,50.0,0.0200,0.4006,-0.012601,7.968278,0.754546,0.016023,3096,218.3
166,679936,-36.4481,50.0,0.0100,0.4617,-0.012241,11.930954,0.716995,0.013773,3097,219.5
167,684032,-36.9352,50.0,0.0300,0.4657,-0.014109,10.704530,0.688512,0.015956,3097,220.8
168,688128,-36.2635,50.0,0.0100,0.4532,-0.009776,8.756029,0.658410,0.017887,3098,222.1
169,692224,-36.4044,50.0,0.0100,0.4799,-0.013043,9.080600,0.636238,0.020437,3098,223.4
170,696320,-35.3506,50.0,0.0200,0.4113,-0.011735,9.934243,0.613864,0.018204,3098,224.7
171,700416,-37.4332,50.0,0.0000,0.4696,-0.013734,9.136303,0.595385,0.015528,3098,226.1
172,704512,-33.8277,50.0,0.0300,0.3875,-0.011429,7.424096,0.576034,0.021397,3098,227.3
